word,score
IRATE,4148
ALERT,4147
ALTER,4147
LATER,4147
AROSE,4124
STARE,4117
ARISE,4098
RAISE,4098
LASER,4097
LEARN,4030
RENAL,4030
SANER,4000
SNARE,4000
CATER,3943
CRATE,3943
REACT,3943
TRACE,3943
LEAST,3929
SLATE,3929
STALE,3929
STEAL,3929
CLEAR,3923
TEARY,3914
AISLE,3910
EARLY,3894
LAYER,3894
RELAY,3894
SCARE,3893
ATONE,3889
STORE,3878
EARTH,3874
HATER,3874
HEART,3874
ADORE,3873
ALONE,3869
TRADE,3866
TREAD,3866
LEANT,3862
LOSER,3858
OPERA,3850
AIDER,3847
ALIEN,3843
TAPER,3843
CRANE,3826
SHARE,3824
SHEAR,3824
PALER,3823
PEARL,3823
TENOR,3811
GRATE,3799
GREAT,3799
YEARN,3797
TAMER,3796
PARSE,3793
SPARE,3793
SPEAR,3793
INERT,3785
INTER,3785
GLARE,3779
LAGER,3779
LARGE,3779
REGAL,3779
REALM,3776
LINER,3765
RATIO,3762
SNORE,3761
CLEAT,3755
ECLAT,3755
STERN,3754
SMEAR,3746
BALER,3744
BLARE,3744
SAUTE,3740
RESIN,3735
RINSE,3735
RISEN,3735
SIREN,3735
TRAIL,3735
TRIAL,3735
ROAST,3731
CASTE,3725
OUTER,3719
ROUTE,3719
SOLAR,3711
AFTER,3705
SCALE,3705
STAIR,3705
TAKER,3700
YEAST,3696
STOLE,3690
WATER,3689
AFIRE,3686
LATHE,3686
FERAL,3685
FLARE,3685
ANGER,3682
RANGE,3682
RAMEN,3679
DEALT,3678
DELTA,3678
TRICE,3678
ROUSE,3669
EATER,3667
CANOE,3665
OCEAN,3665
ISLET,3664
IDEAL,3659
ENACT,3658
RELIC,3658
HASTE,3656
LEAPT,3655
PETAL,3655
PLATE,3655
PLEAT,3655
SAFER,3655
SCORE,3654
REACH,3650
STEAD,3648
CREST,3647
AVERT,3645
CEDAR,3642
SWEAR,3639
CLEAN,3638
LANCE,3638
TRAIN,3638
LEASH,3636
SHALE,3636
OTHER,3635
ASIDE,3629
PASTE,3625
CAPER,3619
RECAP,3619
ERASE,3617
ARSON,3614
SONAR,3614
READY,3613
THEIR,3609
METAL,3608
OLDER,3607
SEPIA,3606
LAPSE,3605
TROPE,3604
TRIED,3601
INLET,3597
ONSET,3593
STONE,3593
AGILE,3592
ARGUE,3590
PAYER,3590
REPAY,3590
EMAIL,3589
ANODE,3588
CRONE,3587
SNARL,3587
HORSE,3585
SHORE,3585
IDLER,3581
STAGE,3581
STEAM,3578
TRIPE,3578
BLEAT,3576
TABLE,3576
URINE,3576
GRACE,3575
NOISE,3574
HEARD,3573
CREAM,3572
STEIN,3567
ACUTE,3566
LADEN,3561
NICER,3561
SHIRE,3559
PERIL,3558
PLIER,3558
ACTOR,3557
METRO,3557
TREAT,3557
TERRA,3555
POSER,3554
PROSE,3554
SPORE,3554
ENTRY,3551
BASTE,3546
BEAST,3546
GAYER,3546
NURSE,3545
ULTRA,3545
DRAPE,3542
BRACE,3540
ASHEN,3539
PANEL,3538
PENAL,3538
PLANE,3538
CAROL,3537
CORAL,3537
TIGER,3534
EXTRA,3532
MERIT,3531
REMIT,3531
SEDAN,3531
TIMER,3531
RAVEN,3528
SPIRE,3528
HERON,3518
FETAL,3517
CAUSE,3516
SAUCE,3516
AGENT,3514
RELAX,3512
MEANT,3511
DRONE,3510
ROYAL,3508
UTILE,3505
HAREM,3503
TREND,3503
TRIBE,3499
GRADE,3498
HAUTE,3497
DREAM,3495
ANGEL,3494
ANGLE,3494
GLEAN,3494
ALIKE,3493
ANIME,3492
RECUT,3488
TRUCE,3488
FEAST,3487
PRONE,3487
DINER,3484
OVATE,3484
CHEAT,3482
SKATE,3482
STAKE,3482
STEAK,3482
TEACH,3482
FARCE,3481
LOUSE,3481
MISER,3481
ELATE,3479
CREAK,3476
TALON,3476
TONAL,3476
GRAPE,3475
SOBER,3475
SUITE,3475
CADET,3474
ARTSY,3471
REHAB,3471
SATYR,3471
STRAY,3471
SWEAT,3471
WASTE,3471
CRUEL,3468
ULCER,3468
FALSE,3467
CLOSE,3466
FORTE,3466
TAUPE,3466
BEARD,3463
BREAD,3463
DEBAR,3463
LEACH,3462
RADIO,3461
RIPEN,3461
VALET,3457
DECAL,3454
TRIAD,3454
TOWER,3450
WROTE,3450
ARENA,3449
TEASE,3449
HOTEL,3447
GONER,3443
ACORN,3440
REFIT,3440
SLICE,3440
ALIVE,3438
CURSE,3438
POLAR,3437
WEARY,3436
CHASE,3432
PLACE,3431
TAPIR,3431
TRASH,3431
LOWER,3430
STYLE,3430
EASEL,3429
LEASE,3429
GAMER,3428
LUNAR,3428
STAVE,3427
SALON,3426
DELAY,3425
WRITE,3424
OAKEN,3422
CARVE,3421
CRAVE,3421
LITHE,3421
FILER,3420
FLIER,3420
RIFLE,3420
SAINT,3420
SATIN,3420
STAIN,3420
SLANT,3419
ETHOS,3417
REIGN,3417
THOSE,3417
PAUSE,3416
TAKEN,3415
CAIRN,3414
MINER,3414
TILDE,3413
CAMEO,3411
CHORE,3411
RAYON,3411
BORNE,3408
UNITE,3408
UNTIE,3408
SALVE,3407
SLAVE,3407
OVERT,3406
TROVE,3406
VOTER,3406
DEATH,3405
RETCH,3404
CREDO,3403
DECOR,3403
SPACE,3401
SLAIN,3400
SNAIL,3400
SOWER,3400
STRAP,3400
SWORE,3400
WORSE,3400
CLONE,3399
DRAKE,3399
INTRO,3399
BARGE,3396
ANKLE,3395
AMBER,3393
WREST,3393
HEIST,3391
MOLAR,3390
MORAL,3390
SERIF,3390
ERUPT,3388
BEAUT,3387
LOVER,3386
PESTO,3386
RAINY,3385
SKIER,3385
CAMEL,3384
BRINE,3382
EATEN,3382
RIVET,3380
ABORT,3378
CIDER,3377
CRIED,3377
UNSET,3377
MATEY,3375
MEATY,3375
ADEPT,3374
WISER,3374
CREPT,3373
USAGE,3372
ESTER,3371
RESET,3371
STEER,3371
TERSE,3371
AMUSE,3369
LATTE,3369
MOTEL,3369
OCTAL,3369
SCONE,3369
USHER,3369
SNORT,3368
GRAIL,3367
POISE,3367
SLOPE,3366
SNAKE,3365
SNEAK,3365
ADORN,3363
SLIDE,3363
SCENT,3362
LIVER,3360
SPITE,3360
SLEPT,3359
SPELT,3359
LABOR,3358
DANCE,3357
VERSO,3356
MEALY,3355
SHADE,3355
PEDAL,3354
PLEAD,3354
PRICE,3354
SMART,3353
CABLE,3352
ROGUE,3351
ROUGE,3351
EXALT,3344
SINCE,3343
NAIVE,3341
APRON,3340
NAVEL,3340
NOSEY,3340
SPIEL,3340
ASCOT,3339
COAST,3339
SMOTE,3339
STATE,3339
TASTE,3339
PURSE,3338
SUPER,3338
ABUSE,3337
DRAIN,3337
NADIR,3337
HYENA,3336
FRAME,3334
HORDE,3334
PECAN,3334
OWNER,3333
PHASE,3332
SHAPE,3332
RACER,3331
MAKER,3329
ASSET,3326
AZURE,3324
GRUEL,3324
REPLY,3324
SPADE,3324
FINER,3323
INFER,3323
OLDEN,3322
LEMUR,3321
WAGER,3321
OTTER,3318
RETRO,3316
FACET,3313
SMITE,3313
SMELT,3312
GLADE,3310
BRUTE,3309
CRAZE,3309
REBUT,3309
TUBER,3309
MEDIA,3308
CRIME,3307
MEDAL,3307
ENTER,3304
BATHE,3303
ABODE,3302
ADOBE,3302
CUTIE,3301
LOATH,3300
OPINE,3300
SHONE,3300
AGREE,3299
EAGER,3299
FLORA,3299
BAKER,3297
